ID,Area,Interaction,Zen_Behavior,Zen_Ref,UX_Spec_Ref,XBrowser_Current,XBrowser_Task,Suggested_Files,DependsOn,Priority,Milestone,Status,Done_Criteria,Test_Steps
DEV-WP-001,Panels/Web,Web Panels 数据层与持久化,Zen 侧栏提供可固定的 Web Panels 列表；可增删改并跨重启保留,,docs/UX_SPEC.md,当前无 Web Panels 数据层/持久化,新增 WebPanelsStore(QAbstractListModel+JSON)；提供 add/remove/update/clear/reorder；暴露给 QML；补充单元测试,src/core/WebPanelsStore.*; src/app/main.cpp; tests/TestWebPanelsStore.cpp; tests/CMakeLists.txt,,P0,M8,done,可新增/删除至少 1 个 panel 且重启后仍存在；ctest 通过,运行应用->通过 Panels 管理新增 https://example.com -> 重启后仍在；运行 ctest -C Debug --output-on-failure
DEV-WP-002,Panels/Web,侧栏 Panels 管理弹窗（列表/添加/删除/打开）,Zen 的面板入口路径短：点开即管理；操作不会被侧栏裁剪/遮挡,,docs/UX_SPEC.md,当前无 Panels 入口与管理 UI,新增 Sidebar Panels 工具按钮；用 PopupManager 打开 WebPanelsDialog；支持：新增 URL/从当前标签添加/删除/打开到右侧面板,ui/qml/BrowserWindow.qml; ui/qml/components/WebPanelsDialog.qml; ui/ui.qrc,DEV-WP-001,P0,M8,done,可以在弹窗里新增/删除/打开 panel 且弹窗不被侧栏裁剪,点击侧栏 Panels->弹窗出现；新增 URL；点击条目打开；关闭弹窗后主界面仍可操作
DEV-WP-003,Panels/Web,右侧 Web Panel Host（可开关+分隔线可拖拽）,Zen 面板通常以窗口内侧边区域呈现；宽度可拖拽且状态可预期,,docs/UX_SPEC.md,当前无窗口内 Web Panel 区域,在主布局增加右侧 panelHost(WebView2View)；支持：打开/关闭；拖拽分隔线调整宽度；双击复位；Open in tab,ui/qml/BrowserWindow.qml; src/core/AppSettings.*; tests/TestAppSettings.cpp (if any),DEV-WP-002,P0,M8,done,打开 panel 后右侧出现 WebView2 内容；拖拽分隔线生效；重启后宽度/开关按预期保持,打开任意 panel -> 拖拽分隔线 -> 关闭/重启 -> 状态一致；打开 panel 内网页可正常导航
DEV-WP-004,Meta/Process,模块验收与归档,每个模块完成后必须可回归测试；记录到计划表并可汇总,,docs/UX_SPEC.md,当前无本轮 Panels 模块的回归记录,完成 DEV-WP-* 后将 Status 全部置为 done；运行合并脚本生成 merged CSV；检查 areas/counts 更新,reference/developing/zen_browser_developing_plan.csv; scripts/merge_plans.ps1,DEV-WP-001,P0,M8,done,merged_developing 为空且 merged_developed 包含 DEV-WP-*；areas/counts 正确,修改 Status->done；运行 scripts/merge_plans.ps1；检查 reference/zen_browser_merged_developing.csv
DEV-WP-005,Panels/Web,Panels 管理弹窗增强：排序/重命名/错误提示,Zen 的 Web Panels 列表支持排序与命名且操作路径短,,docs/UX_SPEC.md,当前弹窗仅支持新增/删除/打开且不显示持久化错误,WebPanelsDialog 增加上移/下移排序与重命名；显示 panels.lastError；支持 ESC 关闭,ui/qml/components/WebPanelsDialog.qml,DEV-WP-002,P1,M9,done,可在列表上移/下移并重启保持顺序；可重命名并重启保持；IO 错误可见,打开 Panels 弹窗->新增两个->上移/下移->重启顺序保持；重命名一个->重启标题保持；将数据目录设为只读后触发保存->显示错误
DEV-WP-006,Panels/Web,WebPanelsStore：updatePanel 持久化单测,面板数据层需可回归测试避免回归,,docs/UX_SPEC.md,已有 add/remove/move 单测但缺少 updatePanel 覆盖,为 updatePanel/重命名场景补充 QtTest 用例并覆盖持久化回读,tests/TestWebPanelsStore.cpp,DEV-WP-001,P2,M9,done,ctest 覆盖 updatePanel 且通过,cmake --build build --config Debug；ctest -C Debug --output-on-failure
DEV-WP-007,Meta/Process,模块验收与归档(M9),每个模块完成后必须可回归测试并刷新汇总,,docs/UX_SPEC.md,本轮 WebPanelsDialog 增强尚未归档,完成 DEV-WP-005/006 后将 Status 置为 done；运行合并脚本刷新 merged CSV,reference/developing/zen_browser_developing_plan.csv; scripts/merge_plans.ps1,DEV-WP-005,P0,M9,done,merged_developing 为空且 merged_developed 包含 DEV-WP-005/006/007；areas/counts 正确,修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_developing.csv
DEV-LAYOUT-001,Window/Layout,侧栏右侧模式（对齐 Zen vertical tabs right-side）,Zen 支持 zen.tabs.vertical.right-side 将垂直标签/侧栏放到右侧,,docs/UX_SPEC.md,当前侧栏固定在左侧,新增 AppSettings.sidebarOnRight；BrowserWindow 主布局根据该开关交换 sidebar/webPanel 位置；修正拖拽分隔线方向与 compactMode 边缘 hover 区,src/core/AppSettings.*; ui/qml/BrowserWindow.qml; ui/qml/components/SettingsDialog.qml,,"P1","M9",done,开启开关后侧栏在右侧且拖拽分隔线方向正确；重启后仍保持；webPanel 随布局镜像且可拖拽宽度,打开 Settings->Appearance->Sidebar on right；观察侧栏移到右侧；拖拽侧栏分隔线/双击复位；打开任意 Web Panel 验证其在左侧且分隔线可拖拽；重启验证保持；运行 ctest -C Debug --output-on-failure
DEV-LAYOUT-002,Settings,AppSettings：sidebarOnRight 持久化单测,设置项必须可回归测试避免回归,,docs/UX_SPEC.md,TestAppSettings 未覆盖 sidebarOnRight,扩展 TestAppSettings：设置 sidebarOnRight=true 后写入 settings.json 并断言字段存在且为 true,src/core/AppSettings.*; tests/TestAppSettings.cpp,DEV-LAYOUT-001,"P2","M9",done,ctest 覆盖 sidebarOnRight 持久化并通过,cmake --build build --config Debug；ctest -C Debug --output-on-failure
DEV-LAYOUT-003,Meta/Process,模块验收与归档(M9 Layout),每个模块完成后必须可回归测试并刷新汇总,,docs/UX_SPEC.md,本轮 Layout 模块尚未归档,完成 DEV-LAYOUT-001/002 后将 Status 置为 done；运行合并脚本刷新 merged CSV,reference/developing/zen_browser_developing_plan.csv; scripts/merge_plans.ps1,DEV-LAYOUT-001,"P0","M9",done,merged_developing 为空且 merged_developed 包含 DEV-LAYOUT-001/002/003；areas/counts 正确,修改 Status->done；运行 powershell -NoProfile -ExecutionPolicy Bypass -File scripts/merge_plans.ps1 -IncludeLayout；检查 reference/zen_browser_merged_developing.csv
