ID,Area,Interaction,Zen_Behavior,Zen_Ref,UX_Spec_Ref,XBrowser_Current,XBrowser_Task,Suggested_Files,DependsOn,Priority,Milestone,Status,Done_Criteria,Test_Steps
META-NEXT-V5-001,Meta,本CSV用于追踪「Zen差距补齐：核心浏览能力/数据控制/高级管理/自定义」的下一阶段迭代,Zen 体验=路径短+状态可预期+弹层不被遮挡+基础浏览能力完整（缩放/全屏/清理数据/书签导入导出/下载管理）, ,docs/UX_SPEC.md,当前 merged_developing 为空且需要新的可执行任务队列,建立 NEXT-V5-* 任务拆解并确保每行可验收+可回归；实现后把 Status 从 todo 改为 done,reference/developing/zen_browser_next_plan_v5.csv, ,META,M15,done,本表可作为连续 12h 执行的任务队列且字段齐全,打开 CSV 抽查 10 行均有 Done_Criteria 与 Test_Steps
NEXT-V5-001,WebView2,基础缩放：Ctrl+±/0 与菜单项,Zen/主流浏览器支持 Ctrl+±/0 调整缩放且立刻生效并可重置, ,docs/UX_SPEC.md,当前未暴露 WebView2 ZoomFactor 且无快捷键,WebView2View 增加 zoomFactor Q_PROPERTY 与 zoomIn/zoomOut/zoomReset；BrowserWindow 增加 Zoom In/Out/Reset 命令与菜单/快捷键并驱动 focusedView,src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; src/core/ShortcutStore.*, ,P0,M15,done,打开网页后 Ctrl+Plus/Ctrl+Minus/Ctrl+0 会改变网页缩放且不会崩溃,打开任意网页->按 Ctrl+Plus 两次->按 Ctrl+Minus 一次->按 Ctrl+0 重置；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-002,Urlbar,缩放指示器：显示百分比并一键重置,Zen 的缩放状态可见且可快速重置避免用户迷失, ,docs/UX_SPEC.md,当前缩放不可见,在地址栏右侧增加 ZoomIndicator（例如 110%）；点击重置；hover 显示 tooltip；reduceMotion 下不做复杂动画,ui/qml/BrowserWindow.qml; ui/qml/components/PopupManager.qml,NEXT-V5-001,P1,M15,done,缩放改变时指示器更新且点击可重置到 100%,打开网页->Ctrl+Plus 到 125%->观察指示器显示->点击指示器->回到 100%；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-003,Settings,缩放设置：默认缩放+按站点记忆开关,Zen 可配置偏好并让缩放状态可预期, ,docs/UX_SPEC.md,当前无缩放配置与持久化,AppSettings 增加 defaultZoom 与 rememberZoomPerSite；提供每站点 zoomMap 持久化；SettingsDialog 增加对应 UI,src/core/AppSettings.*; ui/qml/components/SettingsDialog.qml; tests/TestAppSettings.cpp,NEXT-V5-001,P1,M15,done,修改默认缩放后新打开的网页使用该缩放且开关可持久化,打开 Settings->Appearance->修改默认缩放为 110%->新建标签打开网页->默认 110%；重启后设置保持；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-004,WebView2,按站点缩放：同域名复用上次缩放,Zen/Arc 类体验：同一个站点缩放保持一致跨 tab, ,docs/UX_SPEC.md,当前缩放不持久且无法按站点应用,导航提交时读取 host；若 rememberZoomPerSite 开启则应用 zoomMap[host] 否则应用 defaultZoom；在用户触发 zoom 时写回 zoomMap,src/engine/webview2/WebView2View.*; src/core/AppSettings.*; ui/qml/BrowserWindow.qml,NEXT-V5-003,P0,M15,done,两个同域网页保持一致缩放且重启后仍按预期应用,开启按站点记忆->打开 https://example.com 缩放到 125%->新建标签再打开同域->自动 125%->重启后仍 125%；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-005,Navigation,停止加载：Esc/按钮可 stop 并与 reload 状态互斥,Zen/主流浏览器加载中显示停止按钮且 Esc 可中止加载, ,docs/UX_SPEC.md,reload 按钮仅显示加载中动效但无法 stop,WebView2View 增加 stop()；BrowserWindow 增加 nav-stop 命令与 Esc 快捷键；加载中将 reloadButton 行为切换为 stop 并显示合适图标,src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; src/core/ShortcutStore.*, ,P1,M15,done,访问慢站点时点击按钮或按 Esc 可停止加载且 isLoading 变为 false,打开一个加载较慢页面->看到加载状态->按 Esc 或点击 stop->加载停止；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-006,Menus,打开本地文件：Ctrl+O 选择 html 并在当前标签打开,Zen/主流浏览器支持 Ctrl+O 打开本地文件并可继续导航, ,docs/UX_SPEC.md,当前无 Open File 入口,增加 Open File 命令与快捷键 Ctrl+O；使用 FileDialog 选择文件并导航到 file:///；支持打开图片与 html；失败 toast,ui/qml/BrowserWindow.qml; ui/qml/components/Shortcuts.qml; ui/qml/components/ToastHost.qml, ,P2,M15,done,选择本地 html 后能在 WebView2 中渲染且地址栏显示 file URL,菜单 File->Open File 或 Ctrl+O->选择一个本地 html->页面渲染；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-007,Window/Layout,全屏：F11 切换窗口全屏并隐藏无关 UI,Zen F11 全屏；Esc 退出；全屏时布局更专注, ,docs/UX_SPEC.md,当前无全屏切换,增加 toggle-fullscreen 命令与 F11；QML 设置 Window.visibility=FullScreen；全屏时隐藏标题区/侧栏可选并保持退出还原,ui/qml/BrowserWindow.qml; src/core/ShortcutStore.*; src/platform/windows/WindowChromeController.* (if needed), ,P1,M15,done,F11 可进出全屏且退出后 UI 状态还原,打开网页->按 F11 进入全屏->按 Esc 或 F11 退出->确认侧栏与地址栏状态一致；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-008,WebView2,Web 内容触发全屏（视频）与窗口全屏联动,网页 video 全屏会驱动浏览器进入内容全屏并可一键退出, ,docs/UX_SPEC.md,当前可能忽略 ContainsFullScreenElementChanged,监听 WebView2 ContainsFullScreenElementChanged；当网页进入全屏时切换窗口全屏并展示退出提示；退出时恢复,src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; ui/qml/components/ToastHost.qml,NEXT-V5-007,P2,M15,todo,视频站点进入全屏后窗口进入全屏且退出后恢复,打开视频站点->点击播放器全屏->窗口进入全屏->按 Esc 退出->窗口恢复；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
NEXT-V5-009,Output,查看页面源代码：菜单/右键打开 SourceViewer,Zen 右键可查看源代码并在新标签展示, ,docs/UX_SPEC.md,当前无 View Source 能力,增加 view-source 命令；通过 ExecuteScript 获取 outerHTML 并打开内部 SourceViewer 页面展示；支持复制与查找,src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml; ui/qml/components/FindBar.qml; ui/qml/components/ContextMenu.qml; ui/qml/components/OverlayHost.qml, ,P2,M15,todo,可在新标签看到当前页面 HTML 文本且可复制,打开网页->右键->View Source->出现新标签显示 HTML->Ctrl+F 查找->Ctrl+A 复制；cmake --build build --config Debug；cd build；ctest -C Debug --output-on-failure
