"ID","Area","Feature","Zen_Source","Zen_UI","XBrowser_Current","XBrowser_Task","Suggested_Files","DependsOn","Priority","Milestone","Status","Done_Criteria","Test_Steps"
"META-001","Meta","Snapshot","ZenRepo=https://github.com/zen-browser/desktop; ZenRef=dev; ZenCommit=bc24c2b11defdead246d2f76d51973aef984a440; License=MPL-2.0; Local=reference/zen-browser-src/desktop-dev","基于 zen-browser/desktop 分支 dev 的 src/zen 及 browser/base/content 的 zen 相关文件","已实现(基础)","作为后续复刻 Zen 交互与布局的对照基线","reference/zen_browser_feature_layout.csv","","META","META","done","CSV 中每行均可追溯到 Zen 源码路径",""
"ZEN-001","Build/Packaging","纳入 Zen 源码目录","src/browser/base/moz-build.patch; src/zen/moz.build","构建系统把 src/zen 编进 Firefox/Zen 构建","已记录","已记录：Zen 通过 moz.build 集成到构建（非纯 runtime 注入）；XBrowser 等价为 CMake + QRC/QML。","docs/ZEN_BUILD_NOTES.md","","P3","M4","done","确认 Zen 是通过 moz.build 集成而非仅 runtime 注入","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-001 小节"
"ZEN-002","Build/Packaging","打包 Zen 资源到 browser.jar","src/browser/base/jar-mn.patch; src/browser/base/content/zen-assets.jar.inc.mn; src/zen/**/jar.inc.mn","把 zen-styles/zen-components 等映射到 chrome://browser/...","已记录","已记录：Zen 通过 jar manifest 将资源映射到 chrome://browser/...；XBrowser 等价为 QRC + QML 资源组织。","docs/ZEN_BUILD_NOTES.md","","P3","M4","done","列清 Zen 的资源入口与加载点即可","打开 docs/ZEN_BUILD_NOTES.md 并检查 ZEN-002 小节"
"ZEN-003","Build/Startup","组件与 WindowActor 注册","src/zen/ZenComponents.manifest; src/zen/common/Components.manifest; src/zen/common/sys/ZenActorsManager.sys.mjs; src/zen/sessionstore/SessionComponents.manifest","app-startup 与 browser-before-ui-startup 阶段挂载","部分实现","(可选)XBrowser 若需要 content 注入/拦截，需设计 WebView2 的消息/脚本注入机制","src/engine/webview2/WebView2View.*","","P2","M3","done","能在内容页范围内注入脚本并与宿主双向通信",""
"ZEN-010","Window/Layout","主容器包装","src/browser/base/content/browser-xhtml.patch","browser.xhtml 增加 <hbox id=zen-main-app-wrapper> 包住 toolbox + browser-box","已实现(基础)","在 XBrowser 里定义等价的根布局容器（QML 根 Item），支持全局 overlay/动画层","ui/qml/BrowserWindow.qml","","MVP","M1","done","存在可覆盖全窗口的 overlay 层与根容器引用",""
"ZEN-011","Window/Layout","AppContent 与 Navbar 容器","src/browser/base/content/browser-box-inc-xhtml.patch","browser-box.inc.xhtml 增加 zen-appcontent-wrapper / zen-appcontent-navbar-wrapper / zen-tabbox-wrapper","已实现(基础)","在 XBrowser 中拆分：侧边栏区 + 顶部/侧边地址栏区 + 内容区容器","ui/qml/BrowserWindow.qml; ui/qml/components/*","ZEN-010","MVP","M1","done","布局可独立显示/隐藏地址栏区域且不影响内容区渲染",""
"ZEN-012","Window/Layout","Tabstrip 注入 Essentials 与 Wrapper","src/browser/base/content/navigator-toolbox-inc-xhtml.patch","TabsToolbar/tabstrip 增加 #zen-essentials 与 #zen-tabs-wrapper","已实现(基础)","在 XBrowser 侧边栏中增加 Essentials 区域（固定/常用标签）并与普通标签列表分区","src/core/TabModel.*; ui/qml/BrowserWindow.qml","ZEN-010","MVP","M1","done","侧边栏有可配置的固定区与普通区，支持基本增删/激活",""
"ZEN-013","Sidebar","底部按钮条","src/browser/base/content/zen-sidebar-icons.inc.xhtml; src/zen/media/zen-media-controls.inc.xhtml","#zen-sidebar-foot-buttons: 展开/Workspaces/创建菜单 + media controls include","已实现(基础)","在 XBrowser 侧边栏底部加入固定按钮区：工作区切换、New、侧边栏展开/收起","ui/qml/BrowserWindow.qml; ui/qml/components/SidebarFooter.qml","ZEN-011","MVP","M1","done","底部按钮区固定可用，支持新增标签/切换工作区/收起侧栏",""
"ZEN-014","Sidebar/CustomizableUI","顶部按钮条与 splitter","src/zen/common/sys/ZenCustomizableUI.sys.mjs","运行时创建 #zen-sidebar-top-buttons 与 #zen-sidebar-splitter，注册 CustomizableUI 区域","已实现(基础)","在 XBrowser：实现侧边栏可拖拽宽度（splitter），并持久化到设置","ui/qml/BrowserWindow.qml; src/core/*Settings* (待建)","ZEN-011","MVP","M1","done","侧边栏宽度可拖拽调整，重启后保持",""
"ZEN-015","Window/Layout","Tabbox 附加元素(Toast/Overlays)","src/browser/base/content/zen-tabbrowser-elements.inc.xhtml; src/zen/split-view/zen-splitview-overlay.inc.xhtml; src/zen/glance/zen-glance.inc.xhtml","tabbrowser-tabbox 内 include zen-tabbrowser-elements：toast 容器 + split/glance overlay","已实现(基础)","在 XBrowser：实现 Toast 容器与 Overlay host（Split/Glance 等未来功能共用）","ui/qml/components/OverlayHost.qml; ui/qml/components/ToastHost.qml","ZEN-010","MVP","M1","done","可从任意逻辑触发 toast；overlay 可覆盖内容区并响应点击关闭",""
