ID,Category,Feature,Zen_UI,Zen_Source,Zen_Prefs,Zen_State,Zen_Notes,XBrowser_Task,XBrowser_Suggested_Files,XBrowser_DependsOn,Priority,Done_Criteria
META-001,Meta,Snapshot,"基于 zen-browser/desktop 分支 dev 的 src/zen 及 browser/base/content 的 zen 相关文件","ZenRepo=https://github.com/zen-browser/desktop; ZenRef=dev; ZenCommit=bc24c2b11defdead246d2f76d51973aef984a440; License=MPL-2.0; Local=reference/zen-browser-src/desktop-dev","",,"不 clone 仓库，使用 GitHub raw/API 拉取所需源码子集","作为后续复刻 Zen 交互与布局的对照基线","reference/zen_browser_feature_layout.csv",,META,CSV 中每行均可追溯到 Zen 源码路径
ZEN-001,Build/Packaging,纳入 Zen 源码目录,"构建系统把 src/zen 编进 Firefox/Zen 构建","src/browser/base/moz-build.patch; src/zen/moz.build","",,"通过 moz.build 把 zen 目录加入 DIRS，后续 jar/组件/actors 才会生效","(可选)仅记录，不需要在 XBrowser 实现","",,P3,"确认 Zen 是通过 moz.build 集成而非仅 runtime 注入"
ZEN-002,Build/Packaging,打包 Zen 资源到 browser.jar,"把 zen-styles/zen-components 等映射到 chrome://browser/...","src/browser/base/jar-mn.patch; src/browser/base/content/zen-assets.jar.inc.mn; src/zen/**/jar.inc.mn","",,"zen-assets.jar.inc.mn 聚合各子模块 jar.inc.mn，产出 chrome://browser/content/zen-* 路径","(可选)仅记录：XBrowser 不需要 jar，但需要等价的资源加载策略","",,P3,"列清 Zen 的资源入口与加载点即可"
ZEN-003,Build/Startup,组件与 WindowActor 注册,"app-startup 与 browser-before-ui-startup 阶段挂载","src/zen/ZenComponents.manifest; src/zen/common/Components.manifest; src/zen/common/sys/ZenActorsManager.sys.mjs; src/zen/sessionstore/SessionComponents.manifest","zen.injections.match-urls; zen.glance.enabled","XPCOM categories; JSWindowActors","ZenActorsManager 注册 ZenGlance / ZenModsMarketplace actors，负责内容页注入与事件桥接","(可选)XBrowser 若需要 content 注入/拦截，需设计 WebView2 的消息/脚本注入机制","src/engine/webview2/WebView2View.*",,P2,"能在内容页范围内注入脚本并与宿主双向通信"
ZEN-010,Window/Layout,主容器包装,"browser.xhtml 增加 <hbox id=zen-main-app-wrapper> 包住 toolbox + browser-box","src/browser/base/content/browser-xhtml.patch","",,"zen-main-app-wrapper 是后续动画/主题/全局 overlay 的挂载点","在 XBrowser 里定义等价的根布局容器（QML 根 Item），支持全局 overlay/动画层","ui/qml/BrowserWindow.qml",,MVP,"存在可覆盖全窗口的 overlay 层与根容器引用"
ZEN-011,Window/Layout,AppContent 与 Navbar 容器,"browser-box.inc.xhtml 增加 zen-appcontent-wrapper / zen-appcontent-navbar-wrapper / zen-tabbox-wrapper","src/browser/base/content/browser-box-inc-xhtml.patch","",,"为单工具栏模式/侧边栏 URLBar 提供承载容器；tabbox 周边可插入 split/side panels","在 XBrowser 中拆分：侧边栏区 + 顶部/侧边地址栏区 + 内容区容器","ui/qml/BrowserWindow.qml; ui/qml/components/*",ZEN-010,MVP,"布局可独立显示/隐藏地址栏区域且不影响内容区渲染"
ZEN-012,Window/Layout,Tabstrip 注入 Essentials 与 Wrapper,"TabsToolbar/tabstrip 增加 #zen-essentials 与 #zen-tabs-wrapper","src/browser/base/content/navigator-toolbox-inc-xhtml.patch","zen.tabs.essentials.max","DOM attributes on tabs","Essentials 是 pinned/essential 的独立区域；zen-tabs-wrapper 参与点击/拖拽与新标签逻辑","在 XBrowser 侧边栏中增加 Essentials 区域（固定/常用标签）并与普通标签列表分区","src/core/TabModel.*; ui/qml/BrowserWindow.qml",ZEN-010,MVP,"侧边栏有可配置的固定区与普通区，支持基本增删/激活"
ZEN-013,Sidebar,底部按钮条,"#zen-sidebar-foot-buttons: 展开/Workspaces/创建菜单 + media controls include","src/browser/base/content/zen-sidebar-icons.inc.xhtml; src/zen/media/zen-media-controls.inc.xhtml","",,"底部区承载工作区切换器与创建入口；媒体控件插入其上方","在 XBrowser 侧边栏底部加入固定按钮区：工作区切换、New、侧边栏展开/收起","ui/qml/BrowserWindow.qml; ui/qml/components/SidebarFooter.qml",ZEN-011,MVP,"底部按钮区固定可用，支持新增标签/切换工作区/收起侧栏"
ZEN-014,Sidebar/CustomizableUI,顶部按钮条与 splitter,"运行时创建 #zen-sidebar-top-buttons 与 #zen-sidebar-splitter，注册 CustomizableUI 区域","src/zen/common/sys/ZenCustomizableUI.sys.mjs","zen.view.sidebar-expanded; zen.view.sidebar-expanded.max-width; zen.tabs.vertical.right-side","XULStore width; prefs","ZenCustomizableUI 负责：插入 splitter、设置/持久化 sidebar 宽度、移动窗口按钮(部分平台)","在 XBrowser：实现侧边栏可拖拽宽度（splitter），并持久化到设置","ui/qml/BrowserWindow.qml; src/core/*Settings* (待建)",ZEN-011,MVP,"侧边栏宽度可拖拽调整，重启后保持"
ZEN-015,Window/Layout,Tabbox 附加元素(Toast/Overlays),"tabbrowser-tabbox 内 include zen-tabbrowser-elements：toast 容器 + split/glance overlay","src/browser/base/content/zen-tabbrowser-elements.inc.xhtml; src/zen/split-view/zen-splitview-overlay.inc.xhtml; src/zen/glance/zen-glance.inc.xhtml","",,"集中放置全局 overlay 与 toast，避免侵入主布局","在 XBrowser：实现 Toast 容器与 Overlay host（Split/Glance 等未来功能共用）","ui/qml/components/OverlayHost.qml; ui/qml/components/ToastHost.qml",ZEN-010,MVP,"可从任意逻辑触发 toast；overlay 可覆盖内容区并响应点击关闭"
ZEN-016,Window/Layout,Zen PopupSet 与 Panels,"main-popupset include zen-popupset，内含 gradient/emoji/folder-search/site-data 等 panel/popup","src/browser/base/content/main-popupset-inc-xhtml.patch; src/browser/base/content/zen-popupset.inc.xhtml; src/browser/base/content/zen-panels/*.inc","",,"Zen 用 menupopup/panel 承载创建菜单、工作区菜单、站点面板等","在 XBrowser：用 QML Popup/Drawer/Sheet 体系替代，并统一管理打开/关闭与定位","ui/qml/components/Popups/* (待建)",ZEN-010,P1,"至少有一个统一 Popup 管理器，可按锚点弹出"
ZEN-017,Input/Commands,命令与 Keyset 桥接,"zenCommandSet + zenKeyset；MozBeforeInitialXULLayout 绑定 command handler","src/browser/base/content/zen-commands.inc.xhtml; src/browser/base/content/zen-keysets.inc.xhtml; src/zen/common/zen-sets.js; src/browser/base/content/browser-sets-inc.patch","zen.keyboard.shortcuts.version; zen.keyboard.shortcuts.disable-mainkeyset-clear","prefs + command events","Zen 用 command id 统一分发到各 feature（compact/workspace/split/glance/复制 URL 等）","在 XBrowser：建立 CommandBus（enum/strings）+ Shortcut 映射层，统一触发业务动作","src/core/*Command* (待建); ui/qml/components/Shortcuts.qml",ZEN-010,MVP,"快捷键与按钮都走同一套命令入口，便于复刻 Zen 行为"
ZEN-020,Startup,预加载模块(更早于 global-scripts),"在 <head> 先加载 zen-sets.js 与部分 module(HasPolyfill/Workspaces)","src/browser/base/content/zen-preloaded.inc.xhtml; src/zen/common/zen-sets.js; src/zen/common/modules/ZenHasPolyfill.mjs; src/zen/workspaces/*.mjs","",,"确保 keyset/Workspaces 早期可用；为后续 UI 初始化铺路","在 XBrowser：应用启动期先初始化 Workspaces/Settings，再构建 UI","src/app/main.cpp; src/core/*Workspace* (待建)",,MVP,"启动顺序明确：Settings/Workspace -> UI -> WebView2"
ZEN-021,Startup,加载 CSS 与 Feature Modules,"zen-assets.inc.xhtml 链接全量 zen-styles 并加载 ZenPreloadedScripts + 主要 feature module","src/browser/base/content/zen-assets.inc.xhtml; src/zen/common/ZenPreloadedScripts.js","",,"CSS 是布局的核心；ZenPreloadedScripts 注入 gZen* 全局对象","在 XBrowser：拆分 QML 样式/主题变量与组件模块加载，保证主窗口只依赖少量入口文件","ui/qml/BrowserWindow.qml; ui/qml/components/*",ZEN-020,MVP,"主窗口入口清晰，主题与功能模块可按需加载/开关"
