ID,Area,Interaction,Zen_Behavior,Zen_Ref,UX_Spec_Ref,XBrowser_Current,XBrowser_Task,Suggested_Files,DependsOn,Priority,Milestone,Status,Done_Criteria,Test_Steps
META-INT-001,Meta,本 CSV 用于追踪「交互/动效/手感」差距并拆解可实现的迭代任务；每行尽量对应一个可验收的交互点。,Zen 更强调：低打扰提示、可预期状态切换、动效统一且克制（支持 reduce motion）。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs; reference/zen-browser-src/desktop-dev/src/zen/compact-mode/ZenCompactMode.mjs,docs/UX_SPEC.md（全局原则 + 交互细则）,已有竖直标签栏/工作区/分屏/Glance/Toast 等骨架，但交互细节与动效缺失较多。,把“看得见/摸得着”的交互差距拆成可逐步完成的小任务，并在实现后将 Status 从 todo 改为 done。,reference/zen_browser_interaction_plan.csv,,META,META,done,团队对齐：后续交互优化均落到本表，并能用 Done_Criteria 验收。,打开 CSV -> 任选 3 行 -> 评审是否可实现/可验收
INT-001,Motion,全局动效 token + reduce motion 开关,动效统一：时长/曲线/延迟一致；用户开启 reduce motion 后禁用或缩短大幅动效。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs（motion 相关逻辑/属性）,docs/UX_SPEC.md §2（全局原则）,QML 中动效零散（或没有）；未提供 reduce motion 设置。,新增 theme.motion* token（duration/easing）与 settings.reduceMotion；所有后续动效任务依赖此 token。,src/core/AppSettings.*; src/core/ThemeController.*; ui/qml/components/*,,P0,M1,done,可在设置中切换 reduce motion；主要动效均引用统一 token。,切换 reduce motion -> 观察侧栏/Toast/Overlay 动效明显减弱或关闭
INT-002,Sidebar,侧栏展开/收起：宽度+透明度过渡,展开/收起有短促的宽度/透明度过渡；状态切换“有感但不拖沓”。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs,docs/UX_SPEC.md §3（布局）,当前通过 Layout.preferredWidth=0 + visible 直接切换，无过渡。,为侧栏容器增加 width/opacity 动画；收起时保持内容不抖动（避免 layout reflow 造成跳动）。,ui/qml/BrowserWindow.qml,INT-001,P0,M1,done,展开/收起侧栏有一致过渡；且不会引起内容区闪烁/跳动。,连续快速切换侧栏 10 次：无闪烁、无卡死、最终状态正确
INT-003,CompactMode,紧凑模式 hover 展开：加入延迟/滞回，避免抖动,Zen 的 hover 展开通常带“进入延迟 + 离开延迟/滞回”，鼠标掠过边缘不会闪一下就收回。,reference/zen-browser-src/desktop-dev/src/zen/compact-mode/ZenCompactMode.mjs,docs/UX_SPEC.md §3（布局）,当前用两个 6px MouseArea 即时切换 compactTopHover/compactSidebarHover，容易抖动。,引入 hover 进入/离开定时器与滞回；鼠标从边缘进入到真实区域时不闪烁；离开后稍延迟收起。,ui/qml/BrowserWindow.qml,INT-001,P1,M1,done,compact 模式下 hover 展开稳定，不因快速划过边缘闪烁。,开启 compactMode -> 快速划过窗口顶边/左边 20 次 -> UI 不闪
INT-004,Sidebar,侧栏宽度拖拽：光标/最小最大/双击复位,拖拽手柄有明确光标；最小/最大宽度限制一致；双击手柄可回到默认宽度。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs（sidebar 相关 prefs/逻辑）,docs/UX_SPEC.md §3（布局）,当前可拖拽但无光标提示，复位/限制规则不明显。,为拖拽区域设置 Qt.SizeHorCursor；增加双击复位；统一 min/max（与布局一致）。,ui/qml/BrowserWindow.qml; src/core/AppSettings.*,INT-001,P1,M1,done,拖拽时光标正确；宽度被限制；双击手柄回到默认值并持久化。,拖拽到极小/极大 -> 不越界；双击 -> 回到默认宽度
INT-005,Tabs,标签列表增删动效（add/remove/move transition）,新建/关闭标签有轻量过渡（淡入/滑动/高度变化），不会突然跳。,reference/zen-browser-src/desktop-dev/src/zen/drag-and-drop/ZenDragAndDrop.js,docs/UX_SPEC.md §4（Tabs）,ListView 默认行为：插入/删除基本无过渡。,为 tab ListView 增加 add/remove/move transitions（与 motion token 统一）；避免影响拖拽性能。,ui/qml/BrowserWindow.qml,INT-001,P1,M1,done,新增/关闭/移动标签时有一致过渡，且拖拽依然顺滑。,新建 5 个 tab -> 关闭中间 2 个 -> 列表过渡自然且不卡
INT-006,Tabs,标签项信息密度：favicon/加载中/音频状态（可渐进）,Zen 标签项通常包含 favicon、加载中指示、音频播放/静音标识（不必一次到位，可先只做 active tab）。,reference/zen-browser-src/desktop-dev/src/zen/common/modules/ZenUIManager.mjs; reference/zen-browser-src/desktop-dev/src/zen/tabs/ZenPinnedTabManager.mjs,docs/UX_SPEC.md §4（Tabs）,当前仅显示 title 文本，无 favicon/加载/音频。,先：为 active tab 采集 title/url/favicon/audio 状态并写回 TabModel；后：显示在每个 tab 项里。,src/core/TabModel.*; src/engine/webview2/WebView2View.*; ui/qml/BrowserWindow.qml,INT-010,P1,M1,done,tab 列表能显示 favicon（至少 active tab）与加载/音频状态指示。,打开播放音频页面 -> tab 上出现音频标识；加载中出现 spinner
INT-007,Tabs,标签项 hover 操作：仅在 hover 显示关闭/置顶/更多,hover 时出现操作按钮；非 hover 保持干净；避免误触（按钮点击区域清晰）。,reference/zen-browser-src/desktop-dev/src/zen/tabs/ZenPinnedTabManager.mjs,docs/UX_SPEC.md §4（Tabs）,当前关闭/置顶按钮常驻（Essentials/普通 tab），视觉噪音较大。,改成 hover 才显示按钮（或仅 active/hover 显示）；保留键盘/右键路径。,ui/qml/BrowserWindow.qml,INT-001,P2,M2,done,非 hover 状态更简洁；hover 时操作按钮出现且不抖动。,在 tab 列表快速移动鼠标：按钮出现/消失稳定且无布局跳动
INT-008,Tabs,中键关闭标签（列表项）,中键点击标签项可直接关闭（符合常见浏览器习惯）。,(Zen 行为对齐：常见浏览器交互),docs/UX_SPEC.md §4（Tabs）,当前仅有按钮/快捷键关闭。,为 tab delegate 增加 MiddleButton 关闭逻辑；需避免与拖拽冲突。,ui/qml/BrowserWindow.qml,,P2,M2,done,中键点击 tab 关闭；拖拽不受影响。,中键点任意 tab -> 关闭；按住左键拖拽 -> 不触发关闭
INT-009,Tabs,拖拽排序：插入指示线 + 自动滚动,拖拽时有明确插入位置提示；靠近顶部/底部自动滚动列表。,reference/zen-browser-src/desktop-dev/src/zen/drag-and-drop/ZenDragAndDrop.js,docs/UX_SPEC.md §4（Tabs）,当前 DropArea 直接 moveTabBefore，无插入提示/自动滚动。,增加拖拽 hover 计算插入位置并渲染指示线；拖拽到边缘触发 listView.contentY 滚动。,ui/qml/BrowserWindow.qml,INT-005,P1,M1,done,拖拽排序可预期；长列表可自动滚动；不会误排序。,创建 30 个 tab -> 拖拽第 1 个到末尾：能自动滚动并准确落位
