"Area","Total","Developed","Developing"
"Accessibility","2","1","1"
"Build/Packaging","2","2","0"
"Build/Startup","1","1","0"
"CompactMode","4","4","0"
"Core","2","2","0"
"Core/Polyfill","1","1","0"
"Core/Tabs","2","2","0"
"Core/UI","9","8","1"
"Data","9","2","7"
"DnD","3","2","1"
"Downloads","7","3","4"
"DX","2","1","1"
"DX/Running","1","1","0"
"Emoji","1","1","0"
"Essentials","1","1","0"
"Extensions","6","2","4"
"Folders","2","2","0"
"Glance","4","3","1"
"Input/Commands","1","1","0"
"Keyboard","1","1","0"
"Layering","4","4","0"
"Layering/Popups","5","5","0"
"Media","1","1","0"
"Menubar","1","1","0"
"Menus","2","2","0"
"Meta","8","8","0"
"Meta/Process","19","12","7"
"Migration","1","1","0"
"Mods","4","3","1"
"Motion","2","2","0"
"NativeUtils","2","1","1"
"Navigation","2","2","0"
"Notifications","1","1","0"
"Omnibox","13","9","4"
"Output","3","1","2"
"Overlay","1","1","0"
"Packaging","3","2","1"
"Panels/Web","7","5","2"
"Permissions","2","1","1"
"Polish","1","1","0"
"Privacy","2","1","1"
"Profiles","1","1","0"
"Session","2","2","0"
"Settings","5","4","1"
"Shortcuts","1","1","0"
"Sidebar","4","4","0"
"Sidebar/CustomizableUI","2","1","1"
"Sidebar/Essentials","1","1","0"
"SiteDataPanel","2","1","1"
"SiteInfo","2","1","1"
"SplitView","9","5","4"
"Stability","2","1","1"
"Startup","3","3","0"
"Tabs","19","14","5"
"Theme","3","2","1"
"Toast","2","1","1"
"Updates","2","1","1"
"Urlbar","3","3","0"
"WebView2","7","3","4"
"Welcome","1","1","0"
"Window/Layout","7","7","0"
"Windows","2","1","1"
"WindowSync","1","1","0"
"Workspace","3","3","0"
"Workspaces","4","3","1"
"Workspaces/Theme","2","1","1"
